Submission ID,Submission Time,Lateness (H:M:S)
11254692.0,2018-11-11 23:35:31 -0800,00:00:00
,,
11253345.0,2018-11-11 22:39:02 -0800,00:00:00
11243931.0,2018-11-11 17:45:20 -0800,00:00:00
11240102.0,2018-11-11 15:41:17 -0800,00:00:00
11240706.0,2018-11-11 16:01:07 -0800,00:00:00
11209528.0,2018-11-09 18:27:04 -0800,00:00:00
11237739.0,2018-11-11 13:47:32 -0800,00:00:00
11252902.0,2018-11-11 22:18:15 -0800,00:00:00
11254249.0,2018-11-11 23:12:32 -0800,00:00:00
11254901.0,2018-11-11 23:45:24 -0800,00:00:00
,,
,,
11492729.0,2018-11-17 18:43:56 -0800,138:44:56
11254020.0,2018-11-11 23:02:24 -0800,00:00:00
11253014.0,2018-11-11 22:23:43 -0800,00:00:00
11252160.0,2018-11-11 21:46:47 -0800,00:00:00
11253752.0,2018-11-11 22:51:00 -0800,00:00:00
11253716.0,2018-11-11 22:49:23 -0800,00:00:00
11239445.0,2018-11-11 15:09:45 -0800,00:00:00
11239866.0,2018-11-11 15:29:01 -0800,00:00:00
11235399.0,2018-11-11 11:53:11 -0800,00:00:00
11254210.0,2018-11-11 23:10:37 -0800,00:00:00
11255041.0,2018-11-11 23:49:40 -0800,00:00:00
11244479.0,2018-11-11 18:05:35 -0800,00:00:00
,,
11242669.0,2018-11-11 17:05:18 -0800,00:00:00
11243244.0,2018-11-11 17:20:49 -0800,00:00:00
11253766.0,2018-11-11 22:51:28 -0800,00:00:00
11140629.0,2018-11-08 12:13:13 -0800,00:00:00
11236055.0,2018-11-11 12:31:01 -0800,00:00:00
11231150.0,2018-11-11 00:38:14 -0800,00:00:00
11255383.0,2018-11-11 23:58:23 -0800,00:00:00
,,
11247694.0,2018-11-11 19:39:56 -0800,00:00:00
11248122.0,2018-11-11 19:51:29 -0800,00:00:00
,,
11240100.0,2018-11-11 15:41:07 -0800,00:00:00
,,
11254977.0,2018-11-11 23:47:46 -0800,00:00:00
,,
11254861.0,2018-11-11 23:43:45 -0800,00:00:00
11197855.0,2018-11-09 14:24:09 -0800,00:00:00
,,
11122035.0,2018-11-07 21:24:31 -0800,00:00:00
11229959.0,2018-11-10 21:58:51 -0800,00:00:00
11175707.0,2018-11-09 03:34:40 -0800,00:00:00
,,
11242781.0,2018-11-11 17:10:05 -0800,00:00:00
11286672.0,2018-11-12 23:17:07 -0800,23:18:07
11252598.0,2018-11-11 22:04:39 -0800,00:00:00
,,
,,
11245298.0,2018-11-11 18:34:17 -0800,00:00:00
11236271.0,2018-11-11 12:39:57 -0800,00:00:00
11244855.0,2018-11-11 18:16:43 -0800,00:00:00
,,
11245837.0,2018-11-11 18:51:52 -0800,00:00:00
,,
11254226.0,2018-11-11 23:11:22 -0800,00:00:00
,,
,,
11247457.0,2018-11-11 19:32:47 -0800,00:00:00
11243160.0,2018-11-11 17:16:43 -0800,00:00:00
11227930.0,2018-11-10 18:54:08 -0800,00:00:00
11252886.0,2018-11-11 22:17:30 -0800,00:00:00
,,
11252491.0,2018-11-11 21:59:29 -0800,00:00:00
11252435.0,2018-11-11 21:57:26 -0800,00:00:00
11254412.0,2018-11-11 23:21:25 -0800,00:00:00
,,
11253070.0,2018-11-11 22:26:28 -0800,00:00:00
11253186.0,2018-11-11 22:32:09 -0800,00:00:00
11246881.0,2018-11-11 19:16:13 -0800,00:00:00
11252483.0,2018-11-11 21:59:15 -0800,00:00:00
11251945.0,2018-11-11 21:38:18 -0800,00:00:00
11243922.0,2018-11-11 17:44:51 -0800,00:00:00
11254283.0,2018-11-11 23:14:27 -0800,00:00:00
11251982.0,2018-11-11 21:40:07 -0800,00:00:00
11250967.0,2018-11-11 21:01:59 -0800,00:00:00
11248513.0,2018-11-11 20:03:42 -0800,00:00:00
11226167.0,2018-11-10 16:29:41 -0800,00:00:00
11239926.0,2018-11-11 15:30:58 -0800,00:00:00
11252229.0,2018-11-11 21:49:08 -0800,00:00:00
11254601.0,2018-11-11 23:31:12 -0800,00:00:00
11252658.0,2018-11-11 22:07:52 -0800,00:00:00
11236373.0,2018-11-11 12:47:05 -0800,00:00:00
,,
11253500.0,2018-11-11 22:41:25 -0800,00:00:00
,,
11247478.0,2018-11-11 19:33:18 -0800,00:00:00
11248188.0,2018-11-11 19:53:27 -0800,00:00:00
11174944.0,2018-11-09 02:06:03 -0800,00:00:00
11251502.0,2018-11-11 21:20:22 -0800,00:00:00
11226572.0,2018-11-10 17:13:51 -0800,00:00:00
11254269.0,2018-11-11 23:13:35 -0800,00:00:00
11251189.0,2018-11-11 21:08:34 -0800,00:00:00
,,
