Submission ID,Submission Time,Lateness (H:M:S)
11679467.0,2018-11-26 23:57:38 -0800,23:58:38
,,
11641765.0,2018-11-25 20:33:10 -0800,00:00:00
11637447.0,2018-11-25 16:46:48 -0800,00:00:00
11630284.0,2018-11-25 00:02:43 -0800,00:00:00
11630524.0,2018-11-25 01:59:26 -0800,00:00:00
,,
11630526.0,2018-11-25 02:00:27 -0800,00:00:00
11645659.0,2018-11-26 00:58:45 -0800,00:59:45
11642958.0,2018-11-25 21:47:09 -0800,00:00:00
11645159.0,2018-11-25 23:57:59 -0800,00:00:00
,,
,,
11638995.0,2018-11-25 18:09:25 -0800,00:00:00
11645192.0,2018-11-25 23:59:13 -0800,00:00:13
11643442.0,2018-11-25 22:16:20 -0800,00:00:00
11630623.0,2018-11-25 04:01:06 -0800,00:00:00
11643155.0,2018-11-25 21:59:17 -0800,00:00:00
11638243.0,2018-11-25 17:35:38 -0800,00:00:00
11644733.0,2018-11-25 23:32:29 -0800,00:00:00
11644149.0,2018-11-25 22:52:58 -0800,00:00:00
12266222.0,2018-12-11 23:09:48 -0800,383:10:48
11642415.0,2018-11-25 21:07:26 -0800,00:00:00
11644519.0,2018-11-25 23:19:00 -0800,00:00:00
11644950.0,2018-11-25 23:47:01 -0800,00:00:00
,,
11643509.0,2018-11-25 22:19:59 -0800,00:00:00
11642119.0,2018-11-25 20:49:36 -0800,00:00:00
11644695.0,2018-11-25 23:30:03 -0800,00:00:00
11598250.0,2018-11-21 09:33:44 -0800,00:00:00
11641973.0,2018-11-25 20:42:28 -0800,00:00:00
11640633.0,2018-11-25 19:39:15 -0800,00:00:00
11644739.0,2018-11-25 23:32:59 -0800,00:00:00
,,
11645149.0,2018-11-25 23:57:34 -0800,00:00:00
11644719.0,2018-11-25 23:31:34 -0800,00:00:00
,,
12319541.0,2018-12-13 07:56:56 -0800,415:57:56
,,
11619003.0,2018-11-22 21:41:21 -0800,00:00:00
,,
11639265.0,2018-11-25 18:27:23 -0800,00:00:00
11642116.0,2018-11-25 20:49:30 -0800,00:00:00
,,
11588415.0,2018-11-20 20:39:18 -0800,00:00:00
11638014.0,2018-11-25 17:19:22 -0800,00:00:00
,,
,,
12191620.0,2018-12-10 12:02:18 -0800,348:03:18
11679014.0,2018-11-26 23:38:53 -0800,23:39:53
11644592.0,2018-11-25 23:23:33 -0800,00:00:00
,,
,,
11644924.0,2018-11-25 23:45:34 -0800,00:00:00
11640112.0,2018-11-25 19:13:46 -0800,00:00:00
,,
,,
11629639.0,2018-11-24 21:16:22 -0800,00:00:00
,,
11644502.0,2018-11-25 23:17:50 -0800,00:00:00
,,
,,
11637832.0,2018-11-25 17:12:28 -0800,00:00:00
11644466.0,2018-11-25 23:15:47 -0800,00:00:00
12189899.0,2018-12-10 11:11:57 -0800,347:12:57
12319581.0,2018-12-13 07:59:00 -0800,416:00:00
,,
11643111.0,2018-11-25 21:56:34 -0800,00:00:00
11644552.0,2018-11-25 23:20:57 -0800,00:00:00
11644756.0,2018-11-25 23:34:21 -0800,00:00:00
,,
11633424.0,2018-11-25 12:47:17 -0800,00:00:00
11641484.0,2018-11-25 20:18:40 -0800,00:00:00
11637619.0,2018-11-25 17:00:43 -0800,00:00:00
11645097.0,2018-11-25 23:55:40 -0800,00:00:00
11644142.0,2018-11-25 22:52:35 -0800,00:00:00
11638576.0,2018-11-25 17:45:05 -0800,00:00:00
11643275.0,2018-11-25 22:07:23 -0800,00:00:00
12218330.0,2018-12-10 20:58:04 -0800,356:59:04
11643646.0,2018-11-25 22:27:01 -0800,00:00:00
11678168.0,2018-11-26 22:58:19 -0800,22:59:19
11625588.0,2018-11-24 11:13:32 -0800,00:00:00
11642122.0,2018-11-25 20:49:49 -0800,00:00:00
11644782.0,2018-11-25 23:35:48 -0800,00:00:00
12190210.0,2018-12-10 11:17:52 -0800,347:18:52
11630283.0,2018-11-25 00:01:44 -0800,00:00:00
11643879.0,2018-11-25 22:36:38 -0800,00:00:00
,,
11644900.0,2018-11-25 23:44:05 -0800,00:00:00
,,
11645108.0,2018-11-25 23:55:57 -0800,00:00:00
11645135.0,2018-11-25 23:56:56 -0800,00:00:00
11644424.0,2018-11-25 23:12:42 -0800,00:00:00
11644590.0,2018-11-25 23:23:31 -0800,00:00:00
11644981.0,2018-11-25 23:48:19 -0800,00:00:00
11644862.0,2018-11-25 23:41:17 -0800,00:00:00
11643677.0,2018-11-25 22:28:47 -0800,00:00:00
,,
