Submission ID,Submission Time,Lateness (H:M:S)
10123527.0,2018-10-15 23:56:56 -0700,23:57:56
,,
10076907.0,2018-10-14 22:26:03 -0700,00:00:00
10068963.0,2018-10-14 18:16:45 -0700,00:00:00
10077874.0,2018-10-14 23:05:21 -0700,00:00:00
10079173.0,2018-10-14 23:54:19 -0700,00:00:00
10072837.0,2018-10-14 20:12:34 -0700,00:00:00
10586488.0,2018-10-25 19:26:42 -0700,259:27:42
10172016.0,2018-10-16 20:49:10 -0700,44:50:10
10078097.0,2018-10-14 23:16:13 -0700,00:00:00
10400928.0,2018-10-22 11:17:30 -0700,179:18:30
10122513.0,2018-10-15 23:26:54 -0700,23:27:54
10117197.0,2018-10-15 21:01:56 -0700,21:02:56
10076619.0,2018-10-14 22:12:24 -0700,00:00:00
10079369.0,2018-10-14 23:58:33 -0700,00:00:00
10078469.0,2018-10-14 23:31:21 -0700,00:00:00
10104822.0,2018-10-15 16:24:06 -0700,16:25:06
10078020.0,2018-10-14 23:12:32 -0700,00:00:00
10068199.0,2018-10-14 17:49:31 -0700,00:00:00
10077965.0,2018-10-14 23:08:47 -0700,00:00:00
10079166.0,2018-10-14 23:54:10 -0700,00:00:00
10446031.0,2018-10-23 10:53:01 -0700,202:54:01
10401607.0,2018-10-22 11:37:00 -0700,179:38:00
10536971.0,2018-10-24 22:30:08 -0700,238:31:08
10075248.0,2018-10-14 21:23:39 -0700,00:00:00
10079251.0,2018-10-14 23:55:54 -0700,00:00:00
10404120.0,2018-10-22 12:33:13 -0700,180:34:13
10007807.0,2018-10-12 12:07:02 -0700,00:00:00
10451116.0,2018-10-23 12:54:47 -0700,204:55:47
10063556.0,2018-10-14 14:55:50 -0700,00:00:00
10536300.0,2018-10-24 22:21:33 -0700,238:22:33
10072933.0,2018-10-14 20:15:41 -0700,00:00:00
10079271.0,2018-10-14 23:56:16 -0700,00:00:00
10079334.0,2018-10-14 23:57:49 -0700,00:00:00
10079345.0,2018-10-14 23:58:07 -0700,00:00:00
10076631.0,2018-10-14 22:13:03 -0700,00:00:00
10076955.0,2018-10-14 22:28:24 -0700,00:00:00
10651718.0,2018-10-26 21:53:37 -0700,285:54:37
,,
10077738.0,2018-10-14 22:59:37 -0700,00:00:00
10077904.0,2018-10-14 23:06:33 -0700,00:00:00
10078920.0,2018-10-14 23:47:08 -0700,00:00:00
10455717.0,2018-10-23 14:52:47 -0700,206:53:47
,,
10400008.0,2018-10-22 10:54:06 -0700,178:55:06
10121217.0,2018-10-15 22:45:59 -0700,22:46:59
10121810.0,2018-10-15 23:05:30 -0700,23:06:30
,,
10078758.0,2018-10-14 23:42:27 -0700,00:00:00
,,
10078937.0,2018-10-14 23:47:41 -0700,00:00:00
,,
10077701.0,2018-10-14 22:58:05 -0700,00:00:00
10076178.0,2018-10-14 21:55:06 -0700,00:00:00
10068807.0,2018-10-14 18:11:18 -0700,00:00:00
10179357.0,2018-10-16 23:41:33 -0700,47:42:33
10178757.0,2018-10-16 23:22:28 -0700,47:23:28
10055159.0,2018-10-14 01:43:19 -0700,00:00:00
10078697.0,2018-10-14 23:39:59 -0700,00:00:00
10064337.0,2018-10-14 15:30:52 -0700,00:00:00
10116701.0,2018-10-15 20:52:58 -0700,20:53:58
10079201.0,2018-10-14 23:55:02 -0700,00:00:00
10070480.0,2018-10-14 19:03:35 -0700,00:00:00
10123506.0,2018-10-15 23:56:28 -0700,23:57:28
10070437.0,2018-10-14 19:02:23 -0700,00:00:00
10068988.0,2018-10-14 18:17:42 -0700,00:00:00
10402036.0,2018-10-22 11:45:06 -0700,179:46:06
10072516.0,2018-10-14 20:02:41 -0700,00:00:00
10079429.0,2018-10-14 23:59:56 -0700,00:00:56
10079415.0,2018-10-14 23:59:30 -0700,00:00:30
10107033.0,2018-10-15 17:13:02 -0700,17:14:02
10073471.0,2018-10-14 20:30:44 -0700,00:00:00
10076441.0,2018-10-14 22:04:28 -0700,00:00:00
10077815.0,2018-10-14 23:02:53 -0700,00:00:00
10079461.0,2018-10-15 00:01:30 -0700,00:02:30
10072760.0,2018-10-14 20:10:18 -0700,00:00:00
10077473.0,2018-10-14 22:47:54 -0700,00:00:00
10078216.0,2018-10-14 23:21:36 -0700,00:00:00
10401067.0,2018-10-22 11:21:12 -0700,179:22:12
10078121.0,2018-10-14 23:16:52 -0700,00:00:00
10077788.0,2018-10-14 23:01:40 -0700,00:00:00
10048444.0,2018-10-13 16:11:12 -0700,00:00:00
10620104.0,2018-10-26 12:16:45 -0700,276:17:45
10079284.0,2018-10-14 23:56:37 -0700,00:00:00
10079409.0,2018-10-14 23:59:20 -0700,00:00:20
10064931.0,2018-10-14 15:56:27 -0700,00:00:00
10075196.0,2018-10-14 21:21:45 -0700,00:00:00
,,
10079135.0,2018-10-14 23:53:25 -0700,00:00:00
,,
10401926.0,2018-10-22 11:42:47 -0700,179:43:47
10079407.0,2018-10-14 23:59:16 -0700,00:00:16
10029973.0,2018-10-12 19:08:37 -0700,00:00:00
10079258.0,2018-10-14 23:55:59 -0700,00:00:00
10076373.0,2018-10-14 22:01:19 -0700,00:00:00
10079401.0,2018-10-14 23:59:10 -0700,00:00:10
10079432.0,2018-10-15 00:00:04 -0700,00:01:04
,,
