Submission ID,Submission Time,Lateness (H:M:S)
9811173.0,2018-10-07 21:39:04 -0700,00:00:00
9813151.0,2018-10-07 23:24:27 -0700,00:00:00
9789448.0,2018-10-06 13:02:10 -0700,00:00:00
9805536.0,2018-10-07 17:23:55 -0700,00:00:00
9765077.0,2018-10-05 13:42:41 -0700,00:00:00
9778617.0,2018-10-05 19:21:38 -0700,00:00:00
9787677.0,2018-10-06 10:39:28 -0700,00:00:00
9812218.0,2018-10-07 22:23:48 -0700,00:00:00
9808270.0,2018-10-07 19:16:22 -0700,00:00:00
9813045.0,2018-10-07 23:16:08 -0700,00:00:00
9798970.0,2018-10-07 10:05:37 -0700,00:00:00
9812088.0,2018-10-07 22:18:26 -0700,00:00:00
9837128.0,2018-10-08 19:14:14 -0700,19:15:14
9788309.0,2018-10-06 11:19:35 -0700,00:00:00
9797000.0,2018-10-06 23:18:06 -0700,00:00:00
9772744.0,2018-10-05 16:29:10 -0700,00:00:00
9767248.0,2018-10-05 14:21:52 -0700,00:00:00
9797866.0,2018-10-07 03:54:36 -0700,00:00:00
9801684.0,2018-10-07 13:54:34 -0700,00:00:00
9796037.0,2018-10-06 21:48:36 -0700,00:00:00
9812876.0,2018-10-07 23:04:09 -0700,00:00:00
9802446.0,2018-10-07 14:45:46 -0700,00:00:00
9811701.0,2018-10-07 22:00:35 -0700,00:00:00
9813204.0,2018-10-07 23:27:10 -0700,00:00:00
9804869.0,2018-10-07 16:44:36 -0700,00:00:00
9843429.0,2018-10-08 22:28:07 -0700,22:29:07
9805663.0,2018-10-07 17:32:52 -0700,00:00:00
9744850.0,2018-10-05 02:16:16 -0700,00:00:00
9813418.0,2018-10-07 23:38:44 -0700,00:00:00
9791930.0,2018-10-06 16:25:11 -0700,00:00:00
9801986.0,2018-10-07 14:14:22 -0700,00:00:00
9758260.0,2018-10-05 11:49:49 -0700,00:00:00
9805261.0,2018-10-07 17:07:29 -0700,00:00:00
9790872.0,2018-10-06 14:52:44 -0700,00:00:00
9813138.0,2018-10-07 23:23:39 -0700,00:00:00
9805862.0,2018-10-07 17:42:32 -0700,00:00:00
9808615.0,2018-10-07 19:37:17 -0700,00:00:00
9769675.0,2018-10-05 15:13:43 -0700,00:00:00
9797560.0,2018-10-07 00:42:17 -0700,00:00:00
9801210.0,2018-10-07 13:23:52 -0700,00:00:00
9811490.0,2018-10-07 21:52:15 -0700,00:00:00
9793718.0,2018-10-06 18:10:31 -0700,00:00:00
9813174.0,2018-10-07 23:26:08 -0700,00:00:00
9807615.0,2018-10-07 19:00:32 -0700,00:00:00
9726605.0,2018-10-04 17:11:35 -0700,00:00:00
10342432.0,2018-10-19 21:03:09 -0700,285:04:09
9806125.0,2018-10-07 17:58:58 -0700,00:00:00
9812826.0,2018-10-07 23:01:06 -0700,00:00:00
9809716.0,2018-10-07 20:33:40 -0700,00:00:00
9810691.0,2018-10-07 21:16:24 -0700,00:00:00
9812575.0,2018-10-07 22:46:04 -0700,00:00:00
,,
9800996.0,2018-10-07 13:07:03 -0700,00:00:00
9811612.0,2018-10-07 21:56:51 -0700,00:00:00
9803770.0,2018-10-07 15:40:48 -0700,00:00:00
9810916.0,2018-10-07 21:29:01 -0700,00:00:00
9892967.0,2018-10-09 22:47:08 -0700,46:48:08
9785459.0,2018-10-05 23:53:49 -0700,00:00:00
9800828.0,2018-10-07 12:52:33 -0700,00:00:00
9801141.0,2018-10-07 13:18:57 -0700,00:00:00
9813203.0,2018-10-07 23:27:04 -0700,00:00:00
9795834.0,2018-10-06 21:28:05 -0700,00:00:00
9803119.0,2018-10-07 15:26:01 -0700,00:00:00
9811893.0,2018-10-07 22:10:23 -0700,00:00:00
9811871.0,2018-10-07 22:09:10 -0700,00:00:00
9804261.0,2018-10-07 16:08:12 -0700,00:00:00
9813632.0,2018-10-07 23:51:03 -0700,00:00:00
9784195.0,2018-10-05 22:44:18 -0700,00:00:00
9812925.0,2018-10-07 23:07:23 -0700,00:00:00
9813839.0,2018-10-07 23:58:27 -0700,00:00:00
9812712.0,2018-10-07 22:54:32 -0700,00:00:00
9767389.0,2018-10-05 14:26:12 -0700,00:00:00
9775337.0,2018-10-05 17:39:34 -0700,00:00:00
9769264.0,2018-10-05 15:03:21 -0700,00:00:00
9813345.0,2018-10-07 23:34:31 -0700,00:00:00
9792162.0,2018-10-06 16:42:04 -0700,00:00:00
9805035.0,2018-10-07 16:54:28 -0700,00:00:00
9811445.0,2018-10-07 21:50:15 -0700,00:00:00
9801826.0,2018-10-07 14:02:15 -0700,00:00:00
9811638.0,2018-10-07 21:58:04 -0700,00:00:00
9805900.0,2018-10-07 17:44:51 -0700,00:00:00
9756119.0,2018-10-05 11:14:00 -0700,00:00:00
9813145.0,2018-10-07 23:24:07 -0700,00:00:00
9813400.0,2018-10-07 23:37:45 -0700,00:00:00
9811823.0,2018-10-07 22:07:03 -0700,00:00:00
9756028.0,2018-10-05 11:10:52 -0700,00:00:00
9812623.0,2018-10-07 22:49:17 -0700,00:00:00
,,
9797267.0,2018-10-06 23:47:33 -0700,00:00:00
9811075.0,2018-10-07 21:35:46 -0700,00:00:00
9748838.0,2018-10-05 08:13:11 -0700,00:00:00
9772243.0,2018-10-05 16:15:06 -0700,00:00:00
9796728.0,2018-10-06 22:44:25 -0700,00:00:00
9813052.0,2018-10-07 23:16:39 -0700,00:00:00
9805983.0,2018-10-07 17:50:37 -0700,00:00:00
9805022.0,2018-10-07 16:53:32 -0700,00:00:00
10341961.0,2018-10-19 20:53:33 -0700,284:54:33
,,
